datetime,open,high,low,close,volume
2024-01-01 05:30:00,42283.58,42775.0,42261.02,42613.56,2468.05964
2024-01-01 07:30:00,42613.57,42638.41,42230.08,42330.49,1480.02371
2024-01-01 09:30:00,42330.5,42406.0,42180.77,42234.01,1451.94912
2024-01-01 11:30:00,42234.01,42500.0,42208.68,42492.46,1255.04968
2024-01-01 13:30:00,42492.46,42699.32,42452.58,42649.69,1306.81856
2024-01-01 15:30:00,42649.69,42762.39,42605.21,42690.2,1641.98418
2024-01-01 17:30:00,42690.21,42780.0,42611.45,42715.54,1282.73091
2024-01-01 19:30:00,42715.54,42847.07,42580.0,42783.05,1653.71315
2024-01-01 21:30:00,42783.05,42856.0,42664.42,42812.7,1596.04734
2024-01-01 23:30:00,42812.71,43550.0,42812.7,43517.99,4090.9243
2024-01-02 01:30:00,43517.98,43829.99,43480.76,43619.21,4446.66421
2024-01-02 03:30:00,43619.22,44184.1,43361.6,44179.55,4500.33423
2024-01-02 05:30:00,44179.55,45372.79,44148.34,44855.96,11384.12343
2024-01-02 07:30:00,44855.96,45500.0,44855.95,45402.38,5709.16316
2024-01-02 09:30:00,45402.38,45468.99,45121.96,45179.48,3885.55992
2024-01-02 11:30:00,45179.48,45643.75,45130.0,45455.53,4502.8631
2024-01-02 13:30:00,45455.52,45879.63,45326.6,45673.48,5419.67902
2024-01-02 15:30:00,45673.48,45711.1,45200.0,45433.99,4607.71556
2024-01-02 17:30:00,45433.99,45705.8,45264.39,45637.93,4381.88015
2024-01-02 19:30:00,45637.92,45800.0,44833.33,45184.82,8854.249
2024-01-02 21:30:00,45184.83,45399.84,44890.11,44966.15,5592.24091
2024-01-02 23:30:00,44966.16,45271.2,44790.96,45039.49,4153.36354
2024-01-03 01:30:00,45039.49,45180.55,44600.0,45119.74,3983.76672
2024-01-03 03:30:00,45119.74,45297.26,44802.01,44946.91,2671.8021
2024-01-03 05:30:00,44946.91,45329.83,44862.11,45317.58,2576.49999
2024-01-03 07:30:00,45317.58,45410.91,45151.91,45262.69,2174.18597
2024-01-03 09:30:00,45262.7,45294.11,45115.59,45172.13,1646.17432
2024-01-03 11:30:00,45172.12,45384.84,44940.93,45011.77,3044.94085
2024-01-03 13:30:00,45011.77,45500.0,45001.1,45344.67,3469.24003
2024-01-03 15:30:00,45344.66,45398.37,43500.0,43702.88,9768.28775
2024-01-03 17:30:00,43702.89,43716.0,40750.0,42529.4,25742.51519
2024-01-03 19:30:00,42529.4,43009.02,42050.0,43000.01,9741.63691
2024-01-03 21:30:00,43000.01,43567.92,42600.0,42906.0,9918.9925
2024-01-03 23:30:00,42906.0,43050.0,42000.0,42596.67,6976.34942
2024-01-04 01:30:00,42596.66,42966.27,42518.7,42917.62,3624.07042
2024-01-04 03:30:00,42917.61,42941.1,42591.09,42845.23,2511.65838
2024-01-04 05:30:00,42845.23,42983.77,42613.77,42708.01,2957.80774
2024-01-04 07:30:00,42708.01,43220.56,42690.02,43102.8,2530.33081
2024-01-04 09:30:00,43102.79,43273.08,42955.5,43183.74,2051.31638
2024-01-04 11:30:00,43183.74,43261.64,42756.97,42763.08,3392.07991
2024-01-04 13:30:00,42763.08,43084.38,42699.83,43007.74,3062.30774
2024-01-04 15:30:00,43007.73,43233.81,42616.28,43176.32,3684.10175
2024-01-04 17:30:00,43176.33,43484.84,43097.06,43346.68,3897.72479
2024-01-04 19:30:00,43346.67,44329.99,43250.0,44051.1,7701.28544
2024-01-04 21:30:00,44051.1,44225.75,43777.86,43990.01,5275.34226
2024-01-04 23:30:00,43990.01,44437.5,43881.31,43956.48,4124.1795
2024-01-05 01:30:00,43956.48,44690.0,43890.9,44430.86,5582.29454
2024-01-05 03:30:00,44430.86,44729.58,44050.0,44151.1,3779.29248
2024-01-05 05:30:00,44151.1,44284.0,42450.0,43376.0,7066.82261
2024-01-05 07:30:00,43376.0,43972.86,43302.0,43465.21,4654.68003
2024-01-05 09:30:00,43465.21,43723.13,43187.89,43644.15,2737.40522
2024-01-05 11:30:00,43644.16,43926.0,43578.08,43777.47,2212.20509
2024-01-05 13:30:00,43777.48,44324.8,43771.1,44147.21,3618.24626
2024-01-05 15:30:00,44147.22,44157.03,43433.0,43771.34,3437.39097
2024-01-05 17:30:00,43771.34,44110.07,43616.0,43986.01,3860.25371
2024-01-05 19:30:00,43986.01,44062.36,43100.0,43500.01,6184.02669
2024-01-05 21:30:00,43500.01,43627.57,43100.46,43609.53,4942.16721
2024-01-05 23:30:00,43609.52,43808.07,43418.0,43600.0,2517.90892
2024-01-06 01:30:00,43600.0,44357.46,43580.51,43946.26,4109.94684
2024-01-06 03:30:00,43946.26,44318.61,43764.42,44145.11,2734.19972
